,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Jun 15, 2019",8689.75,8859.13,8618.4,8838.38,18371033226,156982138835
1,"Jun 14, 2019",8230.9,8710.64,8183.39,8693.83,19831162906,154398880249
2,"Jun 13, 2019",8145.55,8311.57,8087.06,8230.92,18669407147,146160317148
3,"Jun 12, 2019",7925.43,8196.65,7862.36,8145.86,19034432883,144634684711
4,"Jun 11, 2019",8004.24,8026.39,7772.8,7927.71,17107279932,140748537530
5,"Jun 10, 2019",7692.28,8031.91,7586.73,8000.33,18689275117,142023351079
6,"Jun 09, 2019",7949.67,7975.97,7583.22,7688.08,16610726547,136465098533
7,"Jun 08, 2019",8036.77,8076.89,7837.61,7954.13,16522722810,141172841635
8,"Jun 07, 2019",7826.9,8126.15,7788.37,8043.95,19141423231,142754693588
9,"Jun 06, 2019",7819.63,7937.34,7571.47,7822.02,19474611077,138800725479
10,"Jun 05, 2019",7704.34,7901.85,7668.67,7824.23,21760923463,138824651666
11,"Jun 04, 2019",8210.99,8210.99,7564.49,7707.77,24609731549,136742790469
12,"Jun 03, 2019",8741.75,8743.5,8204.19,8208.99,22004511436,145619047341
13,"Jun 02, 2019",8565.47,8809.3,8561.24,8742.96,20266216022,155077231351
14,"Jun 01, 2019",8573.84,8625.6,8481.58,8564.02,22488303544,151890214310
15,"May 31, 2019",8320.29,8586.66,8172.55,8574.5,25365190957,152059886414
16,"May 30, 2019",8661.76,9008.31,8221.27,8319.47,29246528551,147525141134
17,"May 29, 2019",8718.59,8755.85,8482.73,8659.49,23473479966,153537047655
18,"May 28, 2019",8802.76,8807.02,8634.72,8719.96,24226919267,154590202287
19,"May 27, 2019",8674.07,8907.17,8668.7,8805.78,27949839564,156093754762
20,"May 26, 2019",8055.21,8687.52,7924.67,8673.22,26677970091,153725486067
21,"May 25, 2019",7991.89,8117.93,7965.98,8052.54,22256813107,142708188838
22,"May 24, 2019",7881.7,8140.72,7824.45,7987.37,25919126991,141539115575
23,"May 23, 2019",7677.27,7943.79,7533.2,7881.85,24457107820,139654107035
24,"May 22, 2019",7956.29,7997.61,7615.99,7680.07,24719473175,136063898960
25,"May 21, 2019",7977.97,8062.17,7843.34,7963.33,25127245056,141065573610
26,"May 20, 2019",8196.92,8200.97,7678.78,7978.31,23843404340,141315695728
27,"May 19, 2019",7267.96,8261.94,7267.96,8197.69,25902422040,145185076705
28,"May 18, 2019",7341.66,7447.27,7251.5,7271.21,21354286562,128761727083
29,"May 17, 2019",7886.93,7929.15,7038.12,7343.9,30066644905,130034777633
